执行时间：0.069056987762451 = URL：/Work/MyClass/myClass.html 当前时间:2017-05-31 10:48:18
执行时间：1.0937359333038 = URL：/Work/MyClass/myClass.html 当前时间:2017-06-02 15:52:58
执行时间：1.0937359333038 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-06-02 15:53:05
执行时间：1.2344069480896 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-06-06 16:11:01
执行时间：1.0937781333923 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-06-06 16:11:02
执行时间：1.109375 = URL：/Work/WorkReport/classIndex.html 当前时间:2017-06-14 15:00:52
执行时间：1.15625 = URL：/Work/WorkReport/classExerciseIndex.html 当前时间:2017-06-14 15:00:57
执行时间：1.09375 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 15:05:41
执行时间：1.078125 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 15:05:57
执行时间：1.09375 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 15:43:30
执行时间：1.078125 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 15:43:40
执行时间：1.078125 = URL：/Work/Work/checkWork.html 当前时间:2017-06-14 15:43:41
执行时间：1.09375 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 15:43:46
执行时间：1.09375 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 15:48:41
执行时间：1.09375 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 15:49:57
执行时间：1.0781321525574 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 16:35:06
执行时间：1.0937359333038 = URL：/Work/Work/addWork.html 当前时间:2017-06-14 18:17:13
执行时间：1.0937569141388 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 09:54:15
执行时间：1.0937569141388 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 09:57:18
执行时间：1.1093819141388 = URL：/Work/Work/checkWork.html 当前时间:2017-06-15 09:57:35
执行时间：1.0937569141388 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/8/cid/1.html 当前时间:2017-06-15 09:57:48
执行时间：1.1093819141388 = URL：/Work/MyClass/myClass.html 当前时间:2017-06-15 10:00:30
执行时间：1.1093821525574 = URL：/Work/Work/checkWork.html 当前时间:2017-06-15 10:00:37
执行时间：1.0781321525574 = URL：/Work/Work/checkWorkDetail/workStyle/test/id/8/cid/1.html 当前时间:2017-06-15 10:00:47
执行时间：1.0937571525574 = URL：/Work/Work/checkWork.html 当前时间:2017-06-15 10:00:55
执行时间：1.0937569141388 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 10:01:07
执行时间：1.0781321525574 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 10:10:52
执行时间：1.0781319141388 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 10:19:02
执行时间：1.0937569141388 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 10:19:15
执行时间：1.0781321525574 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 10:46:55
执行时间：1.0937569141388 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 10:49:21
执行时间：1.0937569141388 = URL：/Work/Work/addWork.html 当前时间:2017-06-15 10:55:27
